song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff
4819,WHA,ANOTHER,12.5,6.8,10.3,13.5
4825,"天邪鬼",ANOTHER,12.4,5.7,8.0,10.7
4828,"ABSOLUTE EVIL",ANOTHER,12.4,6.2,8.7,11.5
4831,n/a,ANOTHER,12.7,11.4,12.5,13.9
4835,Phoenix,LEGGENDARIA,12.7,10.8,12.0,13.7
4838,"RAGE feat.H14 of LEONAIR",ANOTHER,12.5,7.4,9.8,12.9
4841,"Smalt #28598F",ANOTHER,12.3,3.8,7.0,9.8
4844,"ピアノ独奏無言歌 ""灰燼""",ANOTHER,12.7,10.5,12.1,13.6
4845,"Time to Air",LEGGENDARIA,12.5,9.4,10.3,12.8
4852,"Fire Beat",ANOTHER,11.8,1.4,5.9,9.8
4855,GRAVITON,ANOTHER,12.4,7.4,9.0,11.3
4868,GIGANT,LEGGENDARIA,12.1,3.5,6.7,10.0
4869,Override,LEGGENDARIA,12.6,8.8,10.2,12.2
4870,Umbral,LEGGENDARIA,12.2,5.2,7.6,10.4
4871,"華爛漫 -Flowers-",LEGGENDARIA,12.4,7.0,9.1,11.4
4875,"Illegal Function Call",LEGGENDARIA,12.7,11.4,13.4,14.1
4881,Arkadia,ANOTHER,12.5,7.3,9.3,11.7
4887,hard-wired,ANOTHER,12.5,8.0,10.7,13.6
4893,"雪上断火",ANOTHER,12.0,1.4,5.5,9.4
4899,anthracene,ANOTHER,12.3,5.1,7.8,10.7
4902,B.O.D.Y.,ANOTHER,12.3,4.3,7.2,10.0
4905,"Bad Encryption",ANOTHER,12.5,8.3,11.2,13.5
4929,Meissa,ANOTHER,12.0,2.4,6.3,9.5
4935,"No Border",ANOTHER,12.3,5.0,7.9,10.6
4965,TECHNOPHOBIA,ANOTHER,12.3,5.9,8.2,11.6
4992,"儚キ戀ノ幻想譚",ANOTHER,12.4,6.7,8.8,11.3
5016,I,ANOTHER,12.3,5.9,8.2,10.9
5019,RINNE,ANOTHER,12.4,7.1,9.4,11.8
5025,"[ ]DENTITY",ANOTHER,12.5,7.3,9.7,12.3
5028,VOLAQUAS,ANOTHER,12.4,6.3,9.0,11.7
5031,"ハイテックトキオ",LEGGENDARIA,12.2,2.7,6.4,9.6
5032,"rage against usual",LEGGENDARIA,12.4,6.7,11.6,13.6
5033,"The Limbo",LEGGENDARIA,12.7,11.7,12.8,13.9
5045,"Peaktime Booster",ANOTHER,12.2,3.4,7.9,11.6
5048,"LOUDER ROLLING THUNDER",ANOTHER,12.4,6.5,9.5,12.0
5060,"Hat Surprise (Season 2)",ANOTHER,12.2,4.7,7.1,10.0
5063,"Ou Legends",ANOTHER,12.3,6.0,8.8,11.7
5073,"Sweet Clapper",LEGGENDARIA,12.3,5.6,8.0,10.6
5074,"デモーニッシュ",LEGGENDARIA,12.4,6.9,9.1,11.9
5088,"ONE AND ONLY",ANOTHER,12.1,2.7,6.1,9.7
5091,"Super Freak",ANOTHER,12.2,4.0,7.5,10.6
5094,"Level 4",ANOTHER,12.4,6.0,9.1,12.1
5115,"The Clown of 24stairs",ANOTHER,12.4,7.3,10.4,13.0
5118,"恋愛＝精度×認識力",ANOTHER,12.3,5.1,8.7,11.7
5124,"dica dica",ANOTHER,12.2,3.7,7.5,10.9
