song_id,name,difficulty,level,unofficial_diff
08030-5-0,"Red Nikita",HYPER,8,8.5
08030-7-0,"Red Nikita",ANOTHER,10,11.0
08031-5-0,"Small clone",HYPER,7,8.5
08032-5-0,Smoke,HYPER,8,8.5
08032-7-0,Smoke,ANOTHER,10,9.6
08033-5-0,"SPEED TRANCE MACH 3",HYPER,7,7.5
08034-5-0,"STAR DREAM",HYPER,8,8.5
08035-5-0,symbolic,HYPER,10,10.5
08036-5-0,thunder,HYPER,9,9.0
08036-7-0,thunder,ANOTHER,11,11.4
08038-7-0,V35,ANOTHER,10,10.5
08039-5-0,"WAR GAME",HYPER,7,6.5
08039-7-0,"WAR GAME",ANOTHER,10,10.2
08041-5-0,xenon,HYPER,8,8.5
08041-7-0,xenon,ANOTHER,11,12.0
08042-5-0,"桜",HYPER,10,10.2
08042-7-0,"桜",ANOTHER,12,12.1
08043-7-0,"蒼い衝動",ANOTHER,9,9.3
08044-5-0,"夜のサングラス",HYPER,8,8.5
09001-5-0,"Abyss -The Heavens Remix-",HYPER,9,9.3
09001-7-0,"Abyss -The Heavens Remix-",ANOTHER,10,9.6
09001-9-0,"Abyss -The Heavens Remix-",LEGGENDARIA,11,11.4
09002-5-0,ACT,HYPER,9,9.0
09002-7-0,ACT,ANOTHER,10,10.5
09003-7-0,ADVANCE,ANOTHER,7,6.5
09004-5-0,"ATOMIC AGE (9th)",HYPER,8,8.5
09004-7-0,"ATOMIC AGE",ANOTHER,9,9.6
09005-5-0,"BAD BOY BASS!! (dj Remo-con MIX)",HYPER,7,8.0
09006-5-0,bag,HYPER,9,9.3
09006-7-0,bag,ANOTHER,10,10.2
09007-5-0,"Be Rock U (1998 burst style)",HYPER,7,7.5
09009-5-0,"BRIGHTNESS DARKNESS",HYPER,8,8.0
09009-7-0,"BRIGHTNESS DARKNESS",ANOTHER,10,10.5
09010-7-0,CHARLOTTE,ANOTHER,10,10.7
09011-5-0,Cradle,HYPER,10,10.0
09012-5-0,Distress,HYPER,11,11.0
09013-5-0,"Dreamin' Sun",HYPER,9,8.5
09013-7-0,"Dreamin' Sun",ANOTHER,10,10.0
09014-5-0,ECHOES,HYPER,7,7.5
09014-7-0,ECHOES,ANOTHER,10,10.2
09015-5-0,"e-motion 2003 -romantic extra-",HYPER,10,10.0
09016-5-0,"FESTA DO SOL",HYPER,7,6.5
09017-5-0,"fun (9th)",HYPER,7,8.5
09017-5-1,"fun (RDT)",HYPER,7,7.5
09017-7-0,fun,ANOTHER,10,11.2
09019-5-0,"Golden Horn",HYPER,8,8.0
09019-7-0,"Golden Horn",ANOTHER,11,11.2
